mac,weekday,fecha_esp32,voltaje,corriente,potencia,frecuencia,energia,fp,esp32_temp,workstation_cpu,workstation_cpu_power,workstation_cpu_temp,workstation_gpu,workstation_gpu_power,workstation_gpu_temp,workstation_ram,workstation_ram_power
3C:61:05:12:96:30,6,2022-07-02 00:00:00,119.41000000000001,1.0770833333333334,117.58666666666666,59.958333333333336,0.0019999999999527063,0.914,49.36108333333333,10.376833333333334,43.1,33.35,0.0,36.0,14.677,47.17816666666667,9.008999999999999
3C:61:05:12:96:30,6,2022-07-02 00:01:00,119.41000000000001,1.0852166666666667,118.63833333333334,59.983333333333334,0.002000000000066393,0.9151666666666667,48.9259,10.375666666666666,43.1,33.43333333333333,0.0,36.0,14.715666666666667,47.195,9.744833333333334
3C:61:05:12:96:30,6,2022-07-02 00:02:00,119.4,1.0870166666666667,118.66333333333334,59.980000000000004,0.0019999999999527063,0.9143333333333333,48.04627166666667,9.7235,43.1,32.56666666666667,0.0,36.0,14.761500000000002,47.179833333333335,8.961666666666668
3C:61:05:12:96:30,6,2022-07-02 00:03:00,119.40333333333335,1.0824166666666668,118.16000000000001,59.985,0.002000000000066393,0.9145000000000001,48.05553,9.487166666666667,43.1,32.31666666666667,0.0,36.0,14.8025,47.241166666666665,8.904666666666666
3C:61:05:12:96:30,6,2022-07-02 00:04:00,119.40666666666668,1.0853499999999998,118.52333333333333,59.973333333333336,0.0019999999999527063,0.9141666666666667,50.24997166666667,9.707333333333334,43.1,32.53333333333333,0.0,35.96666666666667,14.759500000000001,47.241,9.256
3C:61:05:12:96:30,6,2022-07-02 00:05:00,119.40666666666668,1.0839500000000002,118.385,59.961666666666666,0.0019999999999527063,0.9146666666666667,50.694415000000006,10.461500000000001,43.1,33.6,0.0,36.0,14.599666666666668,47.241166666666665,9.928166666666666
3C:61:05:12:96:30,6,2022-07-02 00:06:00,119.40666666666668,1.0861833333333335,118.655,59.92833333333333,0.002000000000066393,0.9143333333333333,52.00922833333333,9.886333333333333,43.1,33.45,0.0,36.0,14.610333333333333,47.216499999999996,10.136666666666667
3C:61:05:12:96:30,6,2022-07-02 00:07:00,119.39500000000001,1.0829666666666666,118.37666666666668,59.973333333333336,0.0019999999999527063,0.9158333333333334,51.58330166666667,9.901166666666667,43.1,33.083333333333336,0.0,36.0,14.56,47.23316666666666,9.274333333333335
3C:61:05:12:96:30,6,2022-07-02 00:08:00,119.39666666666668,1.0826333333333333,118.225,59.99,0.002000000000066393,0.9150000000000001,48.91664166666667,10.504666666666667,43.1,34.016666666666666,0.0,35.983333333333334,14.507499999999999,47.217,10.366666666666667
3C:61:05:12:96:30,6,2022-07-02 00:09:00,119.38666666666668,1.0879833333333333,118.92,59.97833333333333,0.0019999999999527063,0.916,49.824045,10.2245,43.1,33.916666666666664,0.0,36.0,14.535,47.236999999999995,10.320333333333334
3C:61:05:12:96:30,6,2022-07-02 00:10:00,119.4,1.0745166666666668,117.265,59.958333333333336,0.0019999999999527063,0.9141666666666667,48.018495,10.065833333333334,43.090500000000006,33.05,0.0,36.0,14.499333333333334,47.175,8.876833333333334
3C:61:05:12:96:30,6,2022-07-02 00:11:00,119.39500000000001,1.0847833333333334,118.50333333333333,59.97,0.002000000000066393,0.9153333333333333,49.83330333333333,10.631333333333334,43.09,34.1,0.0,36.0,14.542499999999999,47.18816666666667,10.041500000000001
3C:61:05:12:96:30,6,2022-07-02 00:12:00,119.405,1.0813,118.08500000000001,59.934999999999995,0.0019999999999527063,0.914,48.083305,10.399166666666668,43.09,33.71666666666667,0.0,36.0,14.515666666666666,47.21116666666667,10.124500000000001
3C:61:05:12:96:30,6,2022-07-02 00:13:00,119.41000000000001,1.0801333333333334,118.07833333333333,59.90333333333333,0.002000000000066393,0.9146666666666667,47.212935,10.109,43.09,33.1,0.0,36.0,14.522833333333333,47.26616666666666,9.552833333333332
3C:61:05:12:96:30,6,2022-07-02 00:14:00,119.40166666666667,1.0838500000000002,118.45833333333333,59.95666666666667,0.0019999999999527063,0.9151666666666667,47.63886166666667,10.291,43.09,33.333333333333336,0.0,36.0,14.526333333333332,47.266,9.696833333333334
3C:61:05:12:96:30,6,2022-07-02 00:15:00,119.39166666666667,1.0765833333333332,117.54833333333333,59.985,0.002000000000066393,0.9146666666666667,48.06478666666667,10.639833333333334,43.09,33.53333333333333,0.03333333333333333,36.0,14.522333333333334,47.271,9.805833333333334
3C:61:05:12:96:30,6,2022-07-02 00:16:00,119.4,1.0828833333333334,118.36,59.96,0.0019999999999527063,0.9148333333333334,50.277746666666665,9.763833333333334,43.09,32.96666666666667,0.0,36.0,14.460833333333333,47.2685,9.718166666666667
3C:61:05:12:96:30,6,2022-07-02 00:17:00,119.39500000000001,1.0838,118.37833333333333,59.985,0.0019999999999527063,0.9148333333333334,49.38886,10.2965,43.09,34.05,0.0,36.0,14.498666666666667,47.304833333333335,9.915666666666668
3C:61:05:12:96:30,6,2022-07-02 00:18:00,119.39833333333334,1.0744,117.28666666666666,59.958333333333336,0.002000000000066393,0.9143333333333333,50.453673333333334,10.126833333333334,43.09,33.3,0.1,36.0,14.527999999999999,47.286833333333334,9.172500000000001
3C:61:05:12:96:30,6,2022-07-02 00:19:00,119.42166666666667,1.0777500000000002,117.645,59.96333333333334,0.0019999999999527063,0.9141666666666667,49.805528333333335,9.547500000000001,43.09,33.36666666666667,0.0,36.0,14.501166666666666,47.28483333333334,10.136666666666667
